N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Байршил 2,Код:,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
1,"5 шар, залуус хороололд, гаражтай 57,2 мкв 3 өрөө",130 сая ₮,3/7/2024,23:40,8103338,9595-0082,3 өрөө,"УБ — Сонгинохайрхан, 5 шар","
5 шар, Залуус хороололд, гаражтай 3 өрөө байр зарна.",https://www.unegui.mn/adv/8103338_5-shar-zaluus-khoroolold-57-2-mkv-3-oroo/,Паркет,Тагтгүй,2016,Байгаа,Вакум,16,Бүргэд,57.2 м²,6,Лизинггүй,4,Ашиглалтад орсон,4.0,4.0,,,5 шар,,,,,,Сонгинохайрхан,5 шар,,130.0,57.2,2.2727272727272725
2,Яармаг gumuda garden хотхонд 2 өрөө,"3.3 сая ₮
үнэ тохирно",3/7/2024,23:30,8061068,9918-2246,2 өрөө,"УБ — Хан-Уул, Яармаг","
🛎️Яармаг #GUMUDA GARDEN Хотхонд 55.77мк 2 өрөө Шинэ шууд нүүж ороход бэлэн байр худалдана.

📍Хэмжээ: 55.77мкв |16/8| 2 өрөө

📍Баруун харсан 2 цонхтой
📍Бүрэн цутгамал металл пасад
📍Давхартаа 5н айлтай
📍24 цагийн хос лифт
📍Хүүхдийн тоглоомын талбай аюулгүй машины орц гарц тусдаа
📍Барилгын давхар-16
📍Таазны өндөр-2.85

📍 Байршил: Нүхтийн амруу өгсөх зам дагуу",https://www.unegui.mn/adv/8061068_iaarmag-gumuda-garden-khotkhond-shine-shuud-nuuzh-orokhod-belen-bair/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Төмөр вакум,55.77 м²,8,Банкны лизингтэй,3,Ашиглалтад орсон,4.0,5.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,3.3,55.77,0.05917159763313609
3,"Худ, оддын хотхонд 126,13 мкв 4 өрөө орон сууц","3.7 сая ₮
3.9 сая ₮ үнэ тохирно",3/7/2024,23:30,7903022,9918-2246,4 өрөө,"УБ — Хан-Уул, Оддын хороолол",,https://www.unegui.mn/adv/7903022_khud-oddyn-khotkhond-126-13-mkv-4-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2004,Байгаа,Модон вакум,5,Вакум,126.13 м²,5,Банкны лизингтэй,5,Ашиглалтад орсон,4.0,6.0,,,Корпорейт,,,,,,Хан-Уул,Оддын хороолол,,3.7,126.13,0.029334813287877588
4,Яармагт 2 өрөө байр 46.37м2,120.56 сая ₮,3/7/2024,23:29,7823549,9918-2246,2 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/7823549_iaarmagt-khiamd-bair/,Паркет,1 тагттай,2023,Байгаа,Вакум,16,Бүргэд,46.37 м²,8,Лизинггүй,2,Ашиглалтад орсон,4.0,7.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,120.56,46.37,2.5999568686650854
5,Нарны хорооллын урд баригдаж буй хотхонд 3 өрөө байр,"5.3 сая ₮
үнэ тохирно",3/7/2024,23:28,7890340,9918-2246,3 өрөө,"УБ — Баянгол, Нарны хороолол",,https://www.unegui.mn/adv/7890340_narny-khoroollyn-urd-barigdazh-bui-biznes-zeregleliin-khotkhond-bair/,Ламинат,1 тагттай,2023,Байгаа,Вакум,16,Төмөр вакум,89.4 м²,13,Банкны лизингтэй,4,Ашиглалтад орсон,4.0,8.0,,,Нарны хороолол,,,,,,Баянгол,Нарны хороолол,,5.3,89.4,0.05928411633109619
6,Яармаг хүннү виллад 103м2 3 өрөө байр,"330 сая ₮
үнэ тохирно",3/7/2024,23:28,7823179,9918-2246,3 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/7823179_gerchilgee-belen-oron-suuts/,Паркет,2 тагттай,2019,Байгаа,Вакум,10,Төмөр вакум,103.0 м²,7,Банкны лизингтэй,4,Ашиглалтад орсон,4.0,9.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,330.0,103.0,3.203883495145631
7,Яармаг сити палас хотхонд 3 өрөө орон сууц 80.6м2,3.2 сая ₮,3/7/2024,23:27,7839168,9918-2246,3 өрөө,"УБ — Хан-Уул, Яармаг","
📣Яармагийн төв зам дагуу байршилтай Сити палас хотхон-д 3 өрөө байр худалдана.

- 3 өрөө / 80.6мкв / 9 давхарт / урагшаа, баруун харсан цонхтой

- Доороо 3 давхар үйлчилгээний төвтэй орон сууц
- 2023 оны 4-р улиралд ашиглалтанд орно
- Улсын сургууль болон цэцэрлэг яг хажуудаа
- Автобусны буудал болон бүх үйлчилгээндээ ч ойр
- Өндөр таазтай, гоёлын засалтай
- Цэлгэр саруулхан том цонх болон талбай томтой тагттай

Үнэ:
✅ м2 нь 3.2 сая /бэлэн болон банкаар/",https://www.unegui.mn/adv/7839168_iaarmag-siti-palas-khotkhond-oron-suuts/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Төмөр вакум,80.6 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,4.0,10.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,3.2,80.6,0.039702233250620354
8,"1 хороолол, цамбад гал тогоо тусдаа 3 өрөө",180 сая ₮,3/7/2024,23:23,8103321,9595-0082,3 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
1 хороолол, Цамбад гал тогоо тусдаа 3 өрөө байр зарна.
Баруун харсан цонхтой.
Шкаф үлдэнэ.",https://www.unegui.mn/adv/8103321_1-khoroolol-tsambad-gal-togoo-tusdaa-3-oroo/,Паркет,2 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,85.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,4.0,11.0,,,1-р хороолол,,,,,,Сонгинохайрхан,1-р хороолол,,180.0,85.0,2.1176470588235294
9,"1 хороолол, сапород гал тогоо тусдаа 3 өрөө",155 сая ₮,3/7/2024,23:16,8094154,9595-0082,3 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
1 хороолол, Сапород гал тогоо тусдаа 3 өрөө байр зарна.
Урагш болон хойш харсан цонхтой.",https://www.unegui.mn/adv/8094154_1-khoroolol-saporod-gal-togoo-tusdaa-3-oroo/,Паркет,2 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,85.0 м²,9,Лизинггүй,4,Ашиглалтад орсон,4.0,12.0,,,1-р хороолол,,,,,,Сонгинохайрхан,1-р хороолол,,155.0,85.0,1.8235294117647058
10,Хуучин драгоны ард гал тогоо тусдаа 3 өрөө 85м2,160 сая ₮,3/7/2024,23:14,8100040,9595-0082,3 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
Хуучин Драгоны ард гал тогоо тусдаа 3 өрөө байр зарна.
Баруун болон зүүн харсан цонхтой.",https://www.unegui.mn/adv/8100040_khuuchin-dragony-ard-gal-togoo-tusdaa-3-oroo/,Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,85.0 м²,6,Лизинггүй,4,Ашиглалтад орсон,4.0,13.0,,,1-р хороолол,,,,,,Сонгинохайрхан,1-р хороолол,,160.0,85.0,1.8823529411764706
