N,id,data,ad_page,ad_order
1,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
3 цагийн өмнө
УБ — Сүхбаатар, 11-р хороолол",4,15
2,1327550,"200 сая ₮
Сансарт 80мкв 2 өрөө байр
6 өдрийн өмнө
УБ — Баянзүрх, Сансар",59,26
3,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
3 цагийн өмнө
УБ — Сүхбаатар, 11-р хороолол",4,14
4,2626990,"600 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",137,43
5,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
3 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",137,42
6,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",137,41
7,3292229,"438 сая ₮
Акоёо резидэнс 3 өрөө байр 83м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",71,37
8,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
Өнөөдөр
УБ — Сүхбаатар, 11-р хороолол",4,20
9,3584318,"Remax Sky Undarmaa
345 сая ₮
Рапид харш хотхонд гал тогоо тусдаа 3 өрөө байр 101мкв
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",81,5
10,3752042,"5.7 сая ₮
Жапан таунд 3 өрөө байр 79.9м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",89,53
11,3759983,"450 сая ₮
Жапан таун хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",132,12
12,3794031,"515.2 сая ₮
King tower хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, King Tower",137,24
13,3969968,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд байрлалтай, хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",88,58
14,4045013,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",89,52
15,4181852,"435 сая ₮
Кн апартментд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",89,51
16,4182220,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",89,50
17,4214828,"270 сая ₮
Муис-н 2-р байрны хойно 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 6",137,22
18,4214853,"75 сая ₮ 85 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",137,21
19,4224390,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",137,13
20,4224435,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",137,14
21,4224701,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Амгалан",137,19
22,4224715,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",137,18
23,4224739,"515.2 сая ₮
King tower-т 3өрөө байр 114.5м2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",137,17
24,4266590,"663.55 сая ₮
Time classic tower хотын төвд 102.57мкв 3 өрөө
4 өдрийн өмнө
УБ — Чингэлтэй, 40, 50 мянгат",40,43
25,4266618,"5.84 сая ₮
Хотын төвд time classic tower 116.66мкв 4 өрөө
4 өдрийн өмнө
УБ — Чингэлтэй, 40, 50 мянгат",40,44
26,4280422,"510 сая ₮
Олонлог академи сургуулийн хажууд 4 өрөө
1 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",62,24
27,4376402,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Амгалан",137,38
28,4623219,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",89,45
29,4780518,"6.57 сая ₮
Time classic tower 5 uruu 127.71m2
4 өдрийн өмнө
УБ — Чингэлтэй, 40, 50 мянгат",40,45
30,4897569,"5.4 сая ₮
Хүннү 2222 117м2 4 өрөө
3 долоо хоногийн өмнө
УБ — Хан-Уул, Хүннү",128,36
31,4912614,"143 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",137,37
32,4936553,"345 сая ₮
Хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",88,57
33,4952750,"119 сая ₮
Нүхтэд 58.3м2 2 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",54,46
34,5060517,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө 78м2
2 өдрийн өмнө
УБ — Хан-Уул, Яармаг",21,5
35,5091346,"4.8 сая ₮
Худ зайсан royal crown villa хотхонд 5 өрөө 309м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",64,42
36,5138471,"195 сая ₮
Baynzurh 2 oroo 60m2
2 өдрийн өмнө
УБ — Баянзүрх, 14-р хороолол",18,21
37,5203939,"850 сая ₮
Уб сувилалын зүүн урд 7 өрөө дуплекс
1 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",89,46
38,5329778,"392 сая ₮
King towert 98 m2 3 uruu bair
5 өдрийн өмнө
УБ — Хан-Уул, King Tower",50,34
39,5357679,"165 сая ₮
Угсармалын гал тогоо тусдаа 3 өрөө байр 80м2
2 өдрийн өмнө
УБ — Баянгол, 3, 4 хороолол",19,13
40,5603697,"2.6 сая ₮
Зэндмэнэ эрдэнэ хотхоны 1а блокт 2 өрөө байр 53.81м2
4 өдрийн өмнө
УБ — Хан-Уул, Яармаг",45,46
41,5642109,"3 сая ₮
Буянт од 2 өрөө 41.37m2 байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, 15-р хороолол",75,19
42,5736213,"490 сая ₮
Зайсангийн гэрэлт хотхонд 125м2 4 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",48,29
43,5747342,"143.09 сая ₮ 180 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",89,49
44,5810659,"2.45 сая ₮ 2.8 сая ₮
Хануул дүүрэг 4 өрөө байр 139м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",81,12
45,5837091,"3.6 сая ₮
Худ- т 2 өрөө байр 47m2
2 долоо хоногийн өмнө
УБ — Хан-Уул, 19-р хороолол",120,44
46,5858154,"280 сая ₮ 300 сая ₮
50 мянгатын 3 өрөө 80м2 байр
3 долоо хоногийн өмнө
УБ — Чингэлтэй, 40, 50 мянгат",126,20
47,5950520,"Remax Sky Nyamgavaa
1.58 сая ₮
General town хотхонд 113.5м2 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",128,53
48,5979442,"3 сая ₮ 3.4 сая ₮
Хан вилла 2 өрөө байр 52,85м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",118,19
49,6003523,"569.43 сая ₮
Солонгос элчин сайдын яамны хойно, жаргалан хотхонд 6 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",137,23
50,6018660,"435 сая ₮
Энхтайваны гүүрний зүүн урд, кн апартментд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",137,46
51,6018704,"75 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр 25.84м2
3 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",137,45
52,6022345,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",89,41
53,6022351,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
1 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",89,40
54,6022359,"435 сая ₮
Энхтайваны гүүрний зүүн урд, кн апартмент 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",89,39
55,6022642,"569.43 сая ₮
Жаргалан хотхонд 6 өрөө дуплекс
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",89,37
56,6022659,"200 сая ₮ 277.2 сая ₮
Москва хороололд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",89,36
57,6074084,"171.94 сая ₮
Хангай хотхоны хойно арга билиг хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",137,52
58,6077836,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",137,51
59,6077881,"435 сая ₮
Энхтайваны гүүрний зүүн урд, кн апартментд 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",137,50
60,6083119,"295 сая ₮
10-р хороололд 160м2 1 давхарын өргөтгөлтэй гал тогоо тусдаа 3 өрөө
2 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",106,27
61,6104016,"201.63 сая ₮
Худ 15 хороо дөл хотхонд 57.61м2 2 өрөө байр
2 өдрийн өмнө
УБ — Хан-Уул, 19-р хороолол",16,20
62,6104046,"255 сая ₮
Худ 19 хороо дөл хотхонд 72,86м2 3 өрөө
2 өдрийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",16,21
63,6118628,"2.7 сая ₮
Гарден вилла 4 өрөө 74.34м2
6 өдрийн өмнө
УБ — Хан-Уул, Яармаг",57,34
64,6122565,"171.94 сая ₮ 232.5 сая ₮
арга билиг хотхонд 2 өрөө байр 53.73м2
1 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",89,44
65,6156215,"3.6 сая ₮
Худ мишээлд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",133,33
66,6156318,"720 сая ₮
Ncd vega city 3 uruu 104 m2
5 өдрийн өмнө
УБ — Хан-Уул, Japan town",50,48
67,6189441,"350 сая ₮
Hunnu tower-д 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",124,27
68,6202650,"178.8 сая ₮
Худ 11 хороо зайсан толгойн зүүн талд 54.2м2 2өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",61,11
69,6240959,"2.19 сая ₮
Цайз захын баруун талд 2 өрөө
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 15",111,1
70,6243379,"2.19 сая ₮
Цайз захын баруун талд 2 өрөө байр 50м2
2 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",111,2
71,6260556,"295 сая ₮
Sunset хотхонд төвийн шугамд 3өрөө
3 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",136,11
72,6265286,"215 сая ₮
Суис-ийн баруун хойно 58мкв 2 өрөө байр
Virtual tour
1 долоо хоногийн өмнө
УБ — Чингэлтэй, Чингэлтэй, Хороо 6",62,2
73,6277301,"110 сая ₮
Баянзүрх 2 өрөө байр 44м2
3 долоо хоногийн өмнө
УБ — Баянзүрх, Өгөөмөр захын зүүн",138,12
74,6290326,"130 сая ₮ 150 сая ₮
Налайх дүүрэгт 3 өрөө
3 өдрийн өмнө
УБ — Налайх",30,56
75,6299813,"3 сая ₮
Зайсанд 144мкв 4 өрөө
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",110,60
76,6341848,"186.58 сая ₮
Москва хороололд 51 м2 2өрөө байр
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",94,20
77,6354686,"370 сая ₮
Тээврийн товчоонд 4 өрөө 122.6м2
2 долоо хоногийн өмнө
УБ — Баянгол, Тээврийн товчоо",105,21
78,6375990,"3.8 сая ₮
Бзд, 3-р хороо, 165.4мкв 4 өрөө байр
6 өдрийн өмнө
УБ — Баянзүрх, 13-р хороолол",60,44
79,6400741,"83 сая ₮
Нисэх, буянт-ухаа 1 хороололд 1 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",132,10
80,6402365,"569.43 сая ₮
Жаргалан хотхонд 6 өрөө дуплекс
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",137,40
81,6416235,"2.3 сая ₮
3 oroo bair
3 өдрийн өмнө
УБ — Сонгинохайрхан, 1-р хороолол",31,26
82,6427658,"145 сая ₮
100 айлд 2 өрөө байр 45м2
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 100 айл",82,51
83,6438560,"412.5 сая ₮
Токио таун-2 хотхонд 3 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 15",47,14
84,6444651,"158 сая ₮
Шинэ налайх хороололд 3 өрөө 71.97м2
1 долоо хоногийн өмнө
УБ — Налайх",93,16
85,6467189,"235.38 сая ₮
Москва хороололд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",94,22
86,6487347,"2.8 сая ₮
Арцатын аманд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",89,27
87,6491607,"267 сая ₮
Яармаг глобал гарден 3 өрөө 76,3м2
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",53,59
88,6502496,"117.04 сая ₮
Чандмань апартмент 2 өрөө байр 53м2
2 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 21-р хороолол",112,46
89,6502510,"114.62 сая ₮ 142 сая ₮
21р хороололд 52м2 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Сонгинохайрхан, 21-р хороолол",112,49
90,6506161,"117.5 сая ₮ 126 сая ₮
10 хороололд 2 өрөө 51м2 байр
6 өдрийн өмнө
УБ — Баянгол, 10-р хороолол",57,27
91,6508395,"450 сая ₮
Japan town 3 өрөө 79.9 мкв байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",90,15
92,6509308,"118 сая ₮
100 айлд 2 өрөө
3 долоо хоногийн өмнө
УБ — Сүхбаатар, 100 айл",128,19
93,6517779,"260 сая ₮
Найрамдал зуслангийн хажууд 2 өрөө орон сууц
1 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Найрамдал",95,51
94,6523883,"4.3 сая ₮
Dunjingaravt 3 oroo bair
4 өдрийн өмнө
УБ — Баянзүрх",39,43
95,6530706,"2.2 сая ₮
Victoria town дуплекс 3 өрөө байр 89.3м2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",134,45
96,6538230,"1.6 Тэрбум ₮
Olympic residence 4 өрөө 205м2
Virtual tour
Өнөөдөр
УБ — Сүхбаатар, Сүхбаатар, Хороо 1",8,15
97,6539800,"3.5 сая ₮
Өгөөмөр захын ард 2 өрөө байр 55m2
1 долоо хоногийн өмнө
УБ — Баянзүрх, Өгөөмөр захын зүүн",76,48
98,6551241,"3.3 сая ₮ 4 сая ₮
Dream plazad 3 өрөө 117,47м2
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",128,29
99,6562505,"248.09 сая ₮
Дөлгөөн нуурт 75.18 мкв мастртай 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 9",134,50
100,6574211,"480 сая ₮ 520 сая ₮
3 4 r horoolold 5 uruu duplex
5 өдрийн өмнө
УБ — Баянгол, 3, 4 хороолол",53,51
101,6576964,"113.04 сая ₮
Их засгийн хажууд 47.1мкв 2 өрөө
1 долоо хоногийн өмнө
УБ — Баянзүрх, Сансар",94,23
102,6583449,"1.3 Тэрбум ₮
Бзд 11 хороо багатэнгэр цогцолборт 192м2 4 өрөө
2 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",16,22
103,6587996,"Remax HUB Tugsbileg
1.6 Тэрбум ₮ 1.7 Тэрбум ₮
Shangri-la mall-н зүүн талд olympic residence 4 өрөө байр
Virtual tour
1 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 1",94,12
104,6594936,"125 сая ₮ 150 сая ₮
Хангай хотхонд 2 өрөө 40м2 байр
4 өдрийн өмнө
УБ — Сүхбаатар, 100 айл",45,43
105,6611131,"2.9 сая ₮
Худ яармагт хангарьд сити1 2өрөө байр 54,85м2
3 өдрийн өмнө
УБ — Хан-Уул, Яармаг",36,1
106,6627826,"146 сая ₮
Хангай хотхоны зүүн урд 2 өрөө байр
Өчигдөр
УБ — Сүхбаатар, 100 айл",11,60
107,6641421,"Remax Sky Tumenbayar
5.4 сая ₮
United apartment 4 өрөө орон сууц
1 долоо хоногийн өмнө
УБ — Баянзүрх, 13-р хороолол",92,51
108,6642607,"148 сая ₮ 163 сая ₮
Жаргалтай хотхонд 42.31мкв 2 өрөө
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 9",108,5
109,6649686,"320 сая ₮
Tsagaan ord hothond 80m2 3 uruu bair
2 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",112,60
110,6649757,"2.6 сая ₮
Зэндмэнэ эрдэнэ хотхонд 54мкв 2 өрөө байр
4 өдрийн өмнө
УБ — Хан-Уул, Яармаг",44,46
111,6650191,"135 сая ₮
3-р хороолол ахуйн үйлчилгээний урд 1 өрөө байр 32м2
2 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",100,29
112,6662068,"900 сая ₮
Засгын газрын ордны хойно 169мкв дуплекс
5 өдрийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 6",54,36
113,6664683,"5.3 сая ₮
Парк вилла цэцэрлэгт хүрээлэнгийн зам дагуу 4 өрөө 122м2 байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, Олимп хотхон",70,51
114,6667192,"Remax Sky Uyanga
1.8 Тэрбум ₮ 1.9 Тэрбум ₮
Japan town c5, 166м2 4өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",72,10
115,6686593,"5.95 сая ₮
Будда виста хотхонд 236мкв дуплекс 7 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",63,35
116,6694422,"2.3 сая ₮
Polaris apartment 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",68,18
117,6694686,"2.4 сая ₮
Поларис апартмент-2 63.17m2 2 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",68,17
