N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Код:,location:,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
1,Тэнгис кино театрын ард 2 өрөө байр 40м2,"175 сая ₮
үнэ тохирно",3/11/2024,2:30,7993890,,2 өрөө,"УБ — Чингэлтэй, Чингэлтэй",,https://www.unegui.mn/adv/7993890_tengis-kino-teatryn-ard-bair-zarna/,Паркет,1 тагттай,2015,Байхгүй,Вакум,16,Төмөр,40.0 м²,2,Лизинггүй,3,Ашиглалтад орсон,3,1,,,Чингэлтэй,,,,,,Чингэлтэй,Чингэлтэй,,175,40,4.375
2,шинэ хороолол хотхонд 28 мкв 1 өрөө,85 сая ₮,3/11/2024,0:24,8098871,,1 өрөө,"УБ — Баянгол, 3, 4 хороолол","
3,4 хороолол, Гэмтлийн ард, 28 мкв 1 өрөө байр зарна.
Зүүн харсан цонхтой.",https://www.unegui.mn/adv/8098871_3-4-khoroolol-gemtliin-ard-shine-khoroolol-khotkhond-28-mkv-1-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,28.0 м²,14,Лизинггүй,1,Ашиглалтад орсон,3,2,,,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,85,28,3.035714286
3,"1 хороолол, цамбад гал тогоо тусдаа 1 өрөө",110 сая ₮,3/11/2024,0:24,8103306,,1 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
1 хороолол Цамбад гал тогоо тусдаа 1 өрөө зарна.
Обой сольсон.
Зүүн харсан цонхтой.",https://www.unegui.mn/adv/8103306_1-khoroolol-tsambad-gal-togoo-dusdaa-1-oroo/,Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,42.0 м²,8,Лизинггүй,2,Ашиглалтад орсон,3,3,,,1-р хороолол,,,,,,Сонгинохайрхан,1-р хороолол,,110,42,2.619047619
4,Баруун 4 замд арктай 2 өрөө,200 сая ₮,3/11/2024,0:14,7973842,,2 өрөө,"УБ — Баянгол, Баянгол, Хороо 17","
Бгд 17 хороонд арктай 2 өрөө зарна",https://www.unegui.mn/adv/7973842_baruun-4-zamd-arktai-2-oroo-zarna/,Мод,1 тагттай,1986,Байхгүй,Вакум,9,Төмөр,35.0 м²,5,Лизинггүй,5,Ашиглалтад орсон,3,4,,,Модны 2,,,,,,Баянгол,Хороо 17,17,200,35,5.714285714
5,10р хороололд сургууль цэцэрлэгт ойр 3өрөө,158 сая ₮,3/11/2024,0:02,8036056,,3 өрөө,"УБ — Баянгол, 10-р хороолол","
📍БГД, 10-р хороолол, “Тэмүүлэл” хотхоны 105-р байранд 𝟔𝟏м2 𝟑өрөө орон сууц худалдана.

🔖 Үнэ: 𝟏𝟓𝟖,𝟎𝟎𝟎.𝟎𝟎𝟎₮

✨Бүх цонх урагш харсан
✨12/5 давхарт
Лифт түр засвартай байгаа тул одоогоор шатаар гарч байгаа",https://www.unegui.mn/adv/8036056_10r-khoroolold-surguul-tsetserlegt-oir-3oroo/,Паркет,1 тагттай,2010,Байхгүй,Вакум,3,Бүргэд,61.0 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,3,5,,,10-р хороолол,,,,,,Баянгол,10-р хороолол,,158,61,2.590163934
6,"3,4 хороолол, гэмтлийн ард зам дагуу 54,3 мкв шинэ 2 өрөө",152 сая ₮,3/10/2024,23:59,8109915,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол","
3,4 хороолол, Гэмтлийн ард зам дагуу Шинэ хороолол хотхонд шинэ 2 өрөө байр зарна.
Зүүн харсан 2 цонхтой.",https://www.unegui.mn/adv/8109915_3-4-khoroolol-gemtliin-ard-zam-daguu-54-3-mkv-shine-2-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,54.3 м²,4,Лизинггүй,2,Ашиглалтад орсон,3,6,,,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,152,54.3,2.799263352
7,"3,4 хороолол эцэст 40 мкв 2 өрөө байр",117 сая ₮,3/10/2024,23:38,8088636,,2 өрөө,"УБ — Баянгол, Баянгол, Хороо 17","
3,4 хорооллын эцэс, Модны 2 ын зам дагуу 40 мкв 2 өрөө байр зарна.
Зүүн харсан цонхтой.
Гал тогооны тавилга үлдэнэ.
Гэрчилгээ бэлэн.",https://www.unegui.mn/adv/8088636_3-4-khoroolol-etsest-40-mkv-2-oroo/,Паркет,1 тагттай,2006,Байхгүй,Вакум,5,Бүргэд,40.0 м²,1,Лизинггүй,2,Ашиглалтад орсон,3,7,,,Модны 2,,,,,,Баянгол,Хороо 17,17,117,40,2.925
8,"Бгд , нарны хорооллын намханд 𝟖𝟒,𝟎𝟔мкв 𝟑 өрөө орон сууц","310 сая ₮
үнэ тохирно",3/10/2024,23:29,8093498,,3 өрөө,"УБ — Баянгол, Нарны хороолол","
БГД , Нарны хорооллын намханд 𝟖𝟒,𝟎𝟔мкв 𝟑 өрөө орон сууц худалдана

|📌Үнэ:𝟑.𝟔𝟔𝟓.𝟎𝟎𝟎сая ₮ / 𝟑𝟏𝟎,𝟎𝟎𝟎,𝟎𝟎𝟎₮

▪️𝟏𝟐/𝟗 давхарт
▪️ Баруун зүүн харсан цонхтой
▪️ Гэрчилгээ бэлэн
▪️Дулаан зогсоол (тусдаа 𝟐𝟑сая)",https://www.unegui.mn/adv/8093498_bgd-narny-khoroollyn-namkhand-84-06mkv-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2013,Байгаа,Вакум,12,Бүргэд,84.06 м²,9,Лизинггүй,3,Ашиглалтад орсон,3,8,,,Нарны хороолол,,,,,,Баянгол,Нарны хороолол,,310,84.06,3.687842018
9,Үндэсний цэцэрлэгт хүрээлэнгийн хойно 𝐌𝐚𝐧𝐝𝐚𝐥𝐚 𝟑𝟔𝟎 хотхонд 𝟏𝟎𝟓.𝟔𝟒мкв 𝟑 өрөө,"820 сая ₮
үнэ тохирно",3/10/2024,23:29,8034202,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
Үндэсний цэцэрлэгт хүрээлэнгийн хойно 𝐌𝐚𝐧𝐝𝐚𝐥𝐚 𝟑𝟔𝟎 хотхонд 𝟏𝟎𝟓.𝟔𝟒мкв 𝟑 өрөө худалдана

☎️|📌Үнэ: 𝟖𝟐𝟎,𝟎𝟎𝟎,𝟎𝟎𝟎/ 𝟏мкв 𝟕,𝟕𝟔𝟎,𝟎𝟎𝟎төг

- 𝟐𝟑/𝟏𝟒 давхарт
- Зүүн харсан харууцтай
- Үүдний шкаф, хувцасны өрөө дагалдана

✅𝟑𝟔𝟎 𝐌𝐚𝐧𝐝𝐚𝐥𝐚 𝐑𝐞𝐬𝐢𝐝𝐞𝐧𝐝𝐞 𝐓𝐨𝐰𝐞𝐫 нь:
🔹𝟐𝟒/𝟕 аюулгүй байдлыг хангах хяналтын систем
🔹Зөвхөн оршин суугчид нэвтрэх систэм
🔹Агаар цэвэршүүлэх, хөргөх систем
🔹Гал, ус алдахаас сэргийлсэн аюулгүйн дохиолол
🔹Гадны дуу чимээг нэвтрүүлэхгүй 𝟑 давхар шилэн фасад
🔹Цахилгааны нөөц үүсгүүр
🔹Бассейн, фитнес, Бизнес уулзалт хийх танхим
🔹𝐇𝐨𝐛𝐛𝐲, 𝐎𝐫𝐜𝐡𝐥𝐨𝐧, 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐬𝐜𝐡𝐨𝐨𝐥 𝐨𝐟 𝐔𝐥𝐚𝐚𝐧𝐛𝐚𝐚𝐭𝐚𝐫, Олонлог г.м шилдэг сургууль, цэцэрлэгт ойрхон гээд таны тав, тухтай амьдрах бүхий л боломжийг шилдэг технологи, дээд зэргийн чанартай материал, тоноглолоор шийдэж өгсөн.",https://www.unegui.mn/adv/8034202_undesnii-tsetserlegt-khureelengiin-khoino-mandala-360-khotkhond-105-64mkv-3-oroo-zarna/,Паркет,1 тагттай,2024,Байхгүй,Вакум,23,Бүргэд,105.64 м²,14,Банкны лизингтэй,4,Ашиглалтад орсон,3,9,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,820,105.64,7.762211284
10,Sky garden residence 159мк² 4 өрөө,8.5 сая ₮,3/10/2024,23:20,7767358,,4 өрөө,"УБ — Хан-Уул, River Garden",,https://www.unegui.mn/adv/7767358_sky-garden-residence-159mk2-4-oroo/,Паркет,1 тагттай,2023,Байгаа,Төмөр вакум,18,Бүргэд,159.0 м²,6,Лизинггүй,7,Ашиглалтад орсон,3,10,,,Маршал,,,,,,Хан-Уул,River Garden,,8.5,159,0.053459119
