,Unnamed: 0.1,Unnamed: 0,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Код:,Байршил 2,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
0,0,55,River garden 158.2мкв 4 өрөө,"1.31 Тэрбум ₮
үнэ тохирно",2024-03-02,09:09,7946414,,4 өрөө,"УБ — Хан-Уул, River Garden","
Цонхны байршил: Урагшаа, баруун болон баруун урагш
Дуу чимээ бага, хотхоны тоглоомын талбай хэсэг, богд уулруу харсан харсан
2 талруугаа гарцтай
Маш цэвэрхэн
2 граж - 80 сая",https://www.unegui.mn/adv/7946414_river-garden-158-2mkv-4-oroo/,Мод,2 тагттай,2018,Байгаа,Модон вакум,16,Төмөр вакум,158.2 м²,10,Лизинггүй,5,Ашиглалтад орсон,1.0,56.0,,,Маршал,,,,,,Хан-Уул,River Garden,,1310.0,158.2,8.280657395701644
1,1,49,Халдвартын урд Түмэннаст хотхоны 1 өрөө 44.51мк2 байр,"140 сая ₮
үнэ тохирно",2024-03-02,09:22,8086549,,1 өрөө,"УБ — Баянзүрх, 14-р хороолол","
Түмэннаст хотхоны дулаахан,саруулхан,мк2 том,бүрэн цутгамал сайхан байраа яаралтай боломжын үнэ тохирч арилжнаа.",https://www.unegui.mn/adv/8086549_khaldvartyn-urd-tumennast-khotkhony-1-oroa-mk2-tomtoi-dulaakhan-bair-zarna/,Паркет,Тагтгүй,2015,Байхгүй,Вакум,12,Бүргэд,44.51 м²,9,Лизинггүй,1,Ашиглалтад орсон,3.0,50.0,,,"Жуков, Халдварт, Өгөөмөр",,,,,,Баянзүрх,14-р хороолол,,140.0,44.51,3.1453605931251407
2,2,54,Зайсан seven star residence-д 109.1м2 4 өрөө байр,"4.6 сая ₮
үнэ тохирно",2024-03-02,10:47,7955077,,4 өрөө,"УБ — Хан-Уул, Зайсан","
Golden Buddha-гийн дараагийн төсөл болох Seven Star residence & shopping mall хотхон 4-р блок 15/15 давхарт ашиглалтанд орсон нүүж ороход бэлэн 109.1 м2 4 өрөө байр зарна.

☑️ Kitchen all-р хийлгүүлсэн гал тогооны тавилга, мастер унтлагын өрөөний хувцасны шүүгээ үнэгүй дагалдана.
☑️ Өрөөний зохион байгуулалт маш сайн
☑️ Мастер унтлагын өрөө хувцасны өрөөний хамт, 2 энгийн унтлагын өрөө, зочны өрөө гал тогооны хэсгийн хамт
☑️ Байгалийн гэрэл сайтай буюу 4 цонх зүүн тийшээ, 3 цонх урагшаа харсан байрлалтай
☑️ Хоорондоо хамааралтай 2 грашын хамт авах боломжтой.
☑️ Бэлэн төлөлт",https://www.unegui.mn/adv/7955077_zaisan-seven-star-residence-shopping-mall-d-109-1m2-4-oroo-bair-zarna/,Паркет,Тагтгүй,2023,Байгаа,Төмөр вакум,15,Төмөр вакум,109.1 м²,15,Лизинггүй,7,Ашиглалтад орсон,1.0,55.0,,,Зайсан,,,,,,Хан-Уул,Зайсан,,4.6,109.1,0.04216315307057745
3,3,48,Голден парк хотхонд 1-өрөө байр 30мкв,80 сая ₮,2024-03-02,11:25,8086829,,1 өрөө,"УБ — Баянгол, 10-р хороолол","
гэрчилгээ бэлэн",https://www.unegui.mn/adv/8086829_golden-park-khotkhond-1-oroo-bair-zarna/,Паркет,1 тагттай,2012,Байхгүй,Вакум,16,Вакум,30.0 м²,11,Лизинггүй,1,Ашиглалтад орсон,3.0,49.0,,,10-р хороолол,,,,,,Баянгол,10-р хороолол,,80.0,30.0,2.6666666666666665
4,4,47,Parkview tsetserlegt hureelen 4 uruu 111m2,545 сая ₮,2024-03-02,13:15,7941231,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
112m2 mash tseverhen saihan bair",https://www.unegui.mn/adv/7941231_parkview-tsetserlegt-hureelen/,Паркет,1 тагттай,2019,Байгаа,Вакум,16,Төмөр,111.78 м²,7,Лизинггүй,4,Ашиглалтад орсон,3.0,48.0,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,545.0,111.78,4.875648595455359
5,5,46,Green villa хотхонд 365м2 пентхаус,"1.46 Тэрбум ₮
1.65 Тэрбум ₮ үнэ тохирно",2024-03-02,14:32,7637165,,5+ өрөө,"УБ — Хан-Уул, Зайсан","
2 дулаан зогсоолтой, террастай, 2 балконтой",https://www.unegui.mn/adv/7637165_green-villa-khotkhond-7-oroo-pentkhaus/,Паркет,3+ тагттай,2010,Байгаа,Вакум,6,Төмөр вакум,365.0 м²,5,Лизинггүй,8,Ашиглалтад орсон,3.0,47.0,,,Зайсан,,,,,,Хан-Уул,Зайсан,,1460.0,365.0,4.0
6,6,45,Sansart tuneliin esreg tald 1 oroo,"95 сая ₮
үнэ тохирно",2024-03-02,18:25,8043941,,1 өрөө,"УБ — Баянзүрх, 15-р хороолол","
Gadnaa pasad hiij bga uvulduu mash dulaahan.Toirood ulsiin tsetserleg surguulitai. Zogsool saitai",https://www.unegui.mn/adv/8043941_sansart-tuneliin-esreg-tald/,Паркет,1 тагттай,1990,Байхгүй,Вакум,5,Бүргэд,18.0 м²,5,Банкны лизингтэй,2,Ашиглалтад орсон,3.0,46.0,,,"Жуков, Офицер, Сансар",,,,,,Баянзүрх,15-р хороолол,,95.0,18.0,5.277777777777778
7,7,44,Tsetserlegt hureelend park vella hothond 4 uruu,"570 сая ₮
үнэ тохирно",2024-03-02,19:38,8086475,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26",,https://www.unegui.mn/adv/8086475_tsetserlegt-hureelend-park-vella-hothond-4-uruu-zarna/,Паркет,1 тагттай,2018,Байхгүй,Вакум,16,Төмөр вакум,102.5 м²,22,Банкны лизингтэй,4,Ашиглалтад орсон,3.0,45.0,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,570.0,102.5,5.560975609756097
8,8,43,Бзд жуковын ард 1 өрөө байр,"99.2 сая ₮
үнэ тохирно",2024-03-02,19:43,8088235,,1 өрөө,"УБ — Баянзүрх, Сансар","
Жуковын музейн хойно One Family хотхоны 2 давхарт 32 мктай 1 өрөө байрыг зарна. Гэрчилгээ бэлэн. (Анх ашиглалтад ороод 1 хүн л амьдарч байсан. Гал тогооны тавилга, үүдний өлгүүр, чанартай материалаар хийгдсэн. Хагас тавилагтай, Өрөөний зохион байгуулалт нь маш гоё, автобусны буудал, өрхийн эмнэлэг, цэцэрлэг сургууль бүх юмтайгаа ойрхон)",https://www.unegui.mn/adv/8088235_bzd-zhukovyn-ard-1-oroo-bair-zarna/,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,32.0 м²,2,Лизинггүй,2,Ашиглалтад орсон,3.0,44.0,,,Сансар,,,,,,Баянзүрх,Сансар,,99.2,32.0,3.1
9,9,42,Голден парк хотхон 1 өрөө 30 мкв байр,"83.5 сая ₮
үнэ тохирно",2024-03-02,23:01,8088688,,1 өрөө,"УБ — Баянгол, 10-р хороолол","
10-р хороолол, Голден парк-1 хотхон 30 мкв 1 өрөө байр худалдана.
✅16/8 давхар
✅1м2 - 2,8 сая
✅Баруун харсан 1 цонхтой, тагттай
✅Ашиглалтанд: 2012
✅Байршил:
• 10р хорооллын шинэ И-МАРТЫН зүүн урд
• Автобусны буудлын урд
• Худалдалдаа үйлчилгээ ойрхон.
• Шинэ Эрин сургууль
• Хотын төвд ойр тул төмөр зам, эмнэлэг, сургууль, цэцэрлэг, банк болон сүлжээ дэлгүүрүүдэд ойрхон.",https://www.unegui.mn/adv/8088688_golden-park-khotkhon-1-oroo-30-mkv-bair/,Паркет,1 тагттай,2012,Байхгүй,Вакум,16,Бүргэд,30.0 м²,8,Лизинггүй,1,Ашиглалтад орсон,3.0,43.0,,,10-р хороолол,,,,,,Баянгол,10-р хороолол,,83.5,30.0,2.783333333333333
