,Unnamed: 0.1,Unnamed: 0,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
0,0,39,Royal castle хотхонд 240мкв 5 өрөө орон сууц,800 сая ₮,2024-03-06,06:57,8065114,,5+ өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 1","
Royal castle хотхонд 240мкв орон сууц худалдана

- 12/4 давхарт байрлалтай
- Сансарын E-mart-н хойно байрлалтай
- Хотын төвдөө ойрхон
- Эргэн тойрон сургууль цэцэрлэг үйлчилгээний байгууллага ихтэй
- Худалдаж аваад түрээслүүлэх сонирхолтой бол одоо 6саяаар түрээслүүлдэг бэлэн түрээслэгчтэй
- 2 дулаан зогсоолтой 1 нь тусдаа 40сая₮
- Үнэ: 81
800сая₮ / тавилга багтсан
- 2 том ариун цэврийн өрөө
- 4 том унтлаганы өрөөтэй саруулхан том
- Өвөл маш дулаахан",https://www.unegui.mn/adv/8065114_royal-castle-khotkhond-240mkv-oron-suuts-khudaldana/,Паркет,2 тагттай,2006,Байгаа,Вакум,12,Төмөр,240.0 м²,4,Банкны лизингтэй,8,Ашиглалтад орсон,4.0,40.0,СЭЗИС,,,,,,Баянзүрх,Хороо 1,1,800.0,240.0,3.3333333333333335
1,1,38,Гарден сити хотхон 3 өрөө 65.3m2,"326 сая ₮
үнэ тохирно",2024-03-06,10:00,8029857,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Яармагт Гарден сити хотхонд 65.3 m2 3өрөө байр зарна . 5 давхарт шинэ",https://www.unegui.mn/adv/8029857_garden-siti-khotkhon-3-oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,5,Бүргэд,65.3 м²,1,Лизинггүй,4,Ашиглалтад орсон,4.0,39.0,Яармаг,,,,,,Хан-Уул,Яармаг,,326.0,65.3,4.9923430321592654
2,2,37,"Сбд, 2-р хороо, шинэ төгөл хотхон 148.5мкв 5 өрөө","820 сая ₮
870 сая ₮",2024-03-06,10:14,8017001,,5+ өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2","
🌱 #СБД 2-р хороо, #Шинэ_Төгөл хотхонд 5 өрөө байр худалдана

- Хотын төв ААА бүс
- 148.4м2
- Баруун болон зүүн харсан харууцтай
- Мастертай
- 2000 онд ашиглалтанд орсон
- Грашгүй
- Зогсоол сайтай
- Нийтийн харуул хамгаалалттай
- Улсын сургууль, цэцэрлэг дэргэдээ
- 4 тагт, 9 цонхтой

Үнэ: 870сая",https://www.unegui.mn/adv/8017001_sbd-2-r-khoroo-shine-togol-khotkhon-148-5mkv-5-oroo/,Паркет,3+ тагттай,2000,Байхгүй,Вакум,4,Бүргэд,148.4 м²,2,Лизинггүй,8,Ашиглалтад орсон,4.0,38.0,Талбай,,,,,,Сүхбаатар,Хороо 2,2,820.0,148.4,5.525606469002695
3,3,36,Удирдлагын акадкемийн урд 2 өрөө байр 63.6 мкв,"225 сая ₮
үнэ тохирно",2024-03-06,10:19,8004028,,2 өрөө,"УБ — Хан-Уул, Зайсан","
-63.6м2 2 өрөө,
-9/9 давхарт үзэгдэх орчин сайтай, өдөржин нар үздэг,
-Баруун болон зүүн харсан 6м, 3м метр урт 2 балконтой,
-Обой солино,
-Зурагтны тавиур, гал тогоо, унтлагын өрөөний тавилгууд дагалдана,
-Маш нам гүн орчинтой, утаа бага үнэртдэг, тортог бага буудаг,
-Төв замаас холгүй, түгжрэлд бага өртдөг, зогсоол хэзээ ч хайж байгаагүй.
-Удирдлагын академийн багш нарт зориулж барьсан байр тул маш чанартай баригдсан.",https://www.unegui.mn/adv/8004028_udirdlagyn-akadkemiin-urd-nam-gum-goio-bairshild-2-oroo/,Ламинат,2 тагттай,2013,Байхгүй,Вакум,9,Бүргэд,63.6 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,4.0,37.0,Зайсан,,,,,,Хан-Уул,Зайсан,,225.0,63.6,3.5377358490566038
4,4,35,Бзд арктай 1өрөө байр 30м2,"102 сая ₮
110 сая ₮ үнэ тохирно",2024-03-06,11:00,8078885,,1 өрөө,"УБ — Баянзүрх, 14-р хороолол","
Арктай,засвар хийсэн,тавилгатай 1өрөө байр зарна.Жижиг 2өрөө шиг зохион байгуулалттай.",https://www.unegui.mn/adv/8078885_arktai-1oroo-bair-zarna/,Паркет,1 тагттай,2011,Байхгүй,Вакум,12,Бүргэд,30.0 м²,3,Банкны лизингтэй,2,Ашиглалтад орсон,4.0,36.0,"Жуков, Халдварт, Өгөөмөр",,,,,,Баянзүрх,14-р хороолол,,102.0,30.0,3.4
5,5,34,Belmonte luxury residence хотхонд 5 uruu,650 сая ₮,2024-03-06,11:09,8098395,,5+ өрөө,"УБ — Хан-Уул, Яармаг","
#Яармаг, #JET сургуулийн хойно #BELMONTE_luxury_residence хотхонд


- мкв үнэ: 3.850.000
- 2019 | 168.69 мвк
- 10/1давхарт
- бүх төрлийн бартер сонсоно",https://www.unegui.mn/adv/8098395_belmonte-luxury-residence-khotkhond/,Паркет,Тагтгүй,2019,Байхгүй,Вакум,10,Бүргэд,169.0 м²,1,Банкны лизингтэй,8,Ашиглалтад орсон,4.0,35.0,Яармаг,,,,,,Хан-Уул,Яармаг,,650.0,169.0,3.8461538461538463
6,6,33,Төмөр зам богд-ар хороололд 79м2 талбайтай 3 өрөө орон сууц,"210 сая ₮
үнэ тохирно",2024-03-06,11:21,8098431,,3 өрөө,"УБ — Баянгол, Богд-Ар","
Хотын А зэрэглэлд маш сайн байршилтай, тохилог дулаан, өрөөнүүд том саруулхан",https://www.unegui.mn/adv/8098431_tomor-zam-bogd-ar-khoroolold-79m2-talbaitai-3-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2006,Байхгүй,Вакум,9,Бүргэд,79.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,4.0,34.0,Төмөр зам,,,,,,Баянгол,Богд-Ар,,210.0,79.0,2.6582278481012658
7,7,32,Happy residence хотхонд террастай 4 өрөө байр,"4.5 сая ₮
үнэ тохирно",2024-03-06,12:33,8095425,,4 өрөө,"УБ — Хан-Уул, Яармаг","
Худ арцатын аманд Happy residence хотхонд оройн нар жаргахыг харах харууц сайтай террастай 4 өрөө байр худалдана.",https://www.unegui.mn/adv/8095425_happy-residence-khotkhond-terrastai-4-oroo-saikhan-bair-khudaldana/,Паркет,1 тагттай,2023,Байгаа,Вакум,12,Төмөр вакум,132.0 м²,12,Банкны лизингтэй,5,Ашиглалтад орсон,4.0,33.0,Яармаг,,,,,,Хан-Уул,Яармаг,,4.5,132.0,0.03409090909090909
8,8,31,British сургуулийн хажууд твин тауэрт 5 өрөө,4.3 сая ₮,2024-03-06,14:37,8099229,,5+ өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 4","
Twin Tower апартментад 154 мкв 5 өрөө худалдана.
Байршил: ХУД, 4-р хороо, Бритиш сургуулийн зүүн талд
Хэмжээ: 154 мкв 5 өрөө орон сууц
Үнэ: 1 мкв - 4'300'000₮
НИЙТ: 662'200'000₮
Байр: 51-р байр
Давхар: 13/11 давхар
Цонх: Баруун-2 Урагшаа-2 болон зүүн-2
Өрөөний тоо: 5
- Зочны өрөө
- Гал тогоо
- Мастер унтлагын өрөө
- 2 унтлагын өрөө
- 2 ариун цэврийн өрөө
- Угаалгын машины өрөө
Ашиглалтад орсон огноо: 2016он
Автозогсоол: Зоорийн давхартаа 2 том хэмжээний зогсоолтой
Зогсоолын үнэ: 40'000'000₮ (1 бүр нь)
Төлбөрийн нөхцөл: Бэлэн болон банкаар

Хотхоны онцлог:
- 24 цагийн харуул хамгаалалт,
- Бүх цонх нар тусдаг, хот харах харагдацтай
- Хажуудаа Бритиш сургууль, Шинэ Монгол Харүмафүжи сургуультай",https://www.unegui.mn/adv/8099229_british-surguuliin-khazhuud-tvin-tauert-5-oroo-khudaldana/,Паркет,1 тагттай,2016,Байгаа,Вакум,13,Бүргэд,154.0 м²,11,Лизинггүй,6,Ашиглалтад орсон,4.0,32.0,Яармаг,,,,,,Хан-Уул,Хороо 4,4,4.3,154.0,0.02792207792207792
9,9,30,Шинэ төгөл хотхон 5 өрөө 148.4м2,820 сая ₮,2024-03-06,15:07,8041630,,5+ өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2","
⚜️ УБ хот СБД 2-р хороо
Шинэ Төгөл хотхонд 5 өрөө байр худалдана

- Хотын төв ААА бүс
- 148.4м2
- Баруун болон зүүн харсан харууцтай
- Мастертай
- 2000 онд ашиглалтанд орсон
- Грашгүй
- Зогсоол сайтай
- Нийтийн харуул хамгаалалттай
- Улсын сургууль, цэцэрлэг дэргэдээ
- 4 тагт, 9 цонхтой",https://www.unegui.mn/adv/8041630_shine-togol-khotkhon-5-oroo/,Паркет,3+ тагттай,2000,Байхгүй,Вакум,4,Бүргэд,148.4 м²,2,Банкны лизингтэй,8,Ашиглалтад орсон,4.0,31.0,Талбай,,,,,,Сүхбаатар,Хороо 2,2,820.0,148.4,5.525606469002695
