Unnamed: 0,id,data,ad_page,ad_order
18,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",75,19
31,1327550,"200 сая ₮
Сансарт 80мкв 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, Сансар",104,32
17,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",75,18
30,2317839,"321.8 сая ₮
Зайсанд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",90,31
59,2585427,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Нисэх",65,60
48,2626990,"600 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Зайсан",65,49
47,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
5 өдрийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",65,48
46,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
5 өдрийн өмнө
УБ — Хан-Уул, Нисэх",65,47
24,3292229,"438 сая ₮
Акоёо резидэнс 3 өрөө байр 83м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, 120 мянгат",111,25
22,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",75,23
33,3752042,"5.7 сая ₮
Жапан таунд 3 өрөө байр 79.9м2
3 өдрийн өмнө
УБ — Хан-Уул, Japan town",45,34
31,3759983,"450 сая ₮
Жапан таун хотхонд 3 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Japan town",44,32
57,3794031,"515.2 сая ₮
King tower хотхонд 3 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, King Tower",44,58
19,3969968,"345 сая ₮
Хүннү молл дэлгүүрийн замын урд байрлалтай, хүннү тауэрт 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул",122,20
32,4045013,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
3 өдрийн өмнө
УБ — Хан-Уул, Мишээл",45,33
31,4181852,"125 сая ₮
Хууль сахиулах их сургуулийн хойно, харуул алтай хотхонд 2 өрөө байр
3 өдрийн өмнө
УБ — Баянзүрх, Амгалан",45,32
30,4182220,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Яармаг",45,31
49,4214853,"75 сая ₮ 85 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
3 өдрийн өмнө
УБ — Баянзүрх, 16-р хороолол",44,50
36,4224390,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Яармаг",44,37
37,4224435,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Нисэх",44,38
48,4224701,"125 сая ₮
Харуул алтай хотхонд 2 өрөө байр
3 өдрийн өмнө
УБ — Баянзүрх, Амгалан",44,49
47,4224715,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Мишээл",44,48
