Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Код:
27,520808,"300 сая ₮
11 хороололд 80м2 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",90.0,28.0,,,,,,,,,,,,,,,,,,,,,,
35,1327550,"200 сая ₮
Сансарт 80мкв 2 өрөө байр
Өнөөдөр
УБ — Баянзүрх, Сансар",4.0,36.0,,,,,,,,,,,,,,,,,,,,,,
28,1327550,,4.0,29.0,Сансарт 80мкв 2 өрөө байр,"200 сая ₮
үнэ тохирно",2024-03-18,21:51,,2 өрөө,"УБ — Баянзүрх, Сансар","
Сансарт тунэлийн эсрэг талд 2 р Байрны 9 давхарын гал тогоо тусдаа Том жижиг өрөө тусдаа наран талдаа цонхнуудтай урт тагттай бүрэн цутгамал Сансарын үйлчилгээний төвүүдтэй ойрхон Нийслэлийн 33 р сургуультай ойрхон Баян Цээл Худалдааны төвийн хойно байрлалтай 2 өрөө байр зарах буюу Сансарын 1 ба 2 байранд угсармал 9 давхарын байрууд болон 11 р хороолол 13 р хороололд оросууд барьсан 9 давхаруудад 3 өрөө байраар сольж зөрүү өгнө Зуучлагч болон зуучлалын компаниуд холбогдох залгах шаардлагагүй залгаад хэрэггүй Холбогдох Шаардлагагүй",https://www.unegui.mn/adv/1327550_sansart-tuneliin-esreg-talin-orosyyd-baris2-r-bairni-2-uruu-bair-zarna/,Чулуу,1 тагттай,1994.0,Байхгүй,Мод,9.0,Бүргэд,80.0 м²,9.0,Лизинггүй,3.0,Ашиглалтад орсон,
26,2303695,"270 сая ₮
11р хороололд 3 өрөө байр 94м2
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",90.0,27.0,,,,,,,,,,,,,,,,,,,,,,
5,2585427,"143.09 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",82.0,6.0,,,,,,,,,,,,,,,,,,,,,,
55,2626990,"600 сая ₮
Зайсан, golden vill хотхонд 134.32мкв 4 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",81.0,56.0,,,,,,,,,,,,,,,,,,,,,,
54,2973971,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
1 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",81.0,55.0,,,,,,,,,,,,,,,,,,,,,,
53,3174806,"143.09 сая ₮
Нисэх, сөүл гарден хотхонд 2 өрөө байр 43.36m2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",81.0,54.0,,,,,,,,,,,,,,,,,,,,,,
30,3425289,"300 сая ₮
11 р хороололд 10 р байрны 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, 11-р хороолол",90.0,31.0,,,,,,,,,,,,,,,,,,,,,,
42,3752042,"5.7 сая ₮
Жапан таунд 3 өрөө байр 79.9м2
5 өдрийн өмнө
УБ — Хан-Уул, Japan town",63.0,43.0,,,,,,,,,,,,,,,,,,,,,,
